x,	 y,	 r 
189 , 101 , 433395689.0625
190 , 101 , 623673794.81
191 , 101 , 792807558.7475
192 , 101 , 792807558.7475
189 , 102 , 1321328320.3125
190 , 102 , 2653237183.4975
191 , 102 , 3900587861.8025
192 , 102 , 4492555304.04
193 , 102 , 1173380514.165
189 , 103 , 2124695939.0625
190 , 103 , 4429101795.747499
191 , 103 , 6648949467.5525
192 , 103 , 8784238791.8975
193 , 103 , 3477799538.375
189 , 104 , 2843498545.3125
190 , 104 , 6120401395.497499
191 , 104 , 9312746060.8025
192 , 104 , 12420531728.3975
193 , 104 , 6141606210.4725
189 , 105 , 1321328320.3125
190 , 105 , 5613006931.309999
191 , 105 , 9820127357.4275
192 , 105 , 13942684396.6475
193 , 105 , 7727175810.4725
190 , 106 , 1363610826.5625
191 , 106 , 3763143218.81
192 , 106 , 8498782293.165
193 , 106 , 6648926546.1875
192 , 107 , 1363607250.185
193 , 107 , 3287457057.915
193 , 108 , 940783813.31
188 , 146 , 5285313281.25
189 , 146 , 8234518092.1875
190 , 146 , 5877268368.75
191 , 146 , 3498877392.1875
192 , 146 , 1099345162.5
66 , 147 , 623666967.1875
67 , 147 , 1469317092.1875
68 , 147 , 2230402204.6875
69 , 147 , 2906922304.6875
70 , 147 , 1099345162.5
188 , 147 , 8234518092.1875
189 , 147 , 13942656435.9375
190 , 147 , 10348643404.6875
191 , 147 , 6670065360.9375
192 , 147 , 2906922304.6875
66 , 148 , 1469317092.1875
67 , 148 , 3287464860.9375
68 , 148 , 5021047617.1875
69 , 148 , 6670065360.9375
70 , 148 , 3498877392.1875
188 , 148 , 5877268368.75
189 , 148 , 10348643404.6875
190 , 148 , 7727128017.1875
191 , 148 , 5021047617.1875
192 , 148 , 2230402204.6875
66 , 149 , 2230402204.6875
67 , 149 , 5021047617.1875
68 , 149 , 7727128017.1875
69 , 149 , 10348643404.6875
70 , 149 , 5877268368.75
188 , 149 , 3498877392.1875
189 , 149 , 6670065360.9375
190 , 149 , 5021047617.1875
191 , 149 , 3287464860.9375
192 , 149 , 1469317092.1875
66 , 150 , 2906922304.6875
67 , 150 , 6670065360.9375
68 , 150 , 10348643404.6875
69 , 150 , 13942656435.9375
70 , 150 , 8234518092.1875
188 , 150 , 1099345162.5
189 , 150 , 2906922304.6875
190 , 150 , 2230402204.6875
191 , 150 , 1469317092.1875
192 , 150 , 623666967.1875
66 , 151 , 1099345162.5
67 , 151 , 3498877392.1875
68 , 151 , 5877268368.75
69 , 151 , 8234518092.1875
70 , 151 , 5285313281.25
